<TICKER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BANEP;10.12.2020;0;1214.5000000;1229.5000000;1212.0000000;1225.5000000;67116
BANEP;11.12.2020;0;1228.5000000;1234.0000000;1218.5000000;1221.0000000;61651
BANEP;14.12.2020;0;1225.0000000;1230.5000000;1215.0000000;1215.0000000;89688
BANEP;15.12.2020;0;1218.5000000;1221.5000000;1212.0000000;1216.5000000;67263
BANEP;16.12.2020;0;1213.0000000;1219.5000000;1202.5000000;1205.0000000;80695
BANEP;17.12.2020;0;1205.0000000;1217.0000000;1196.5000000;1201.0000000;120593
BANEP;18.12.2020;0;1201.0000000;1204.0000000;1192.0000000;1192.0000000;97984
BANEP;21.12.2020;0;1195.5000000;1199.5000000;1169.5000000;1170.0000000;124721
BANEP;22.12.2020;0;1168.5000000;1184.5000000;1164.5000000;1168.5000000;88799
BANEP;23.12.2020;0;1168.5000000;1183.0000000;1160.0000000;1173.0000000;125550
BANEP;24.12.2020;0;1176.5000000;1178.0000000;1150.0000000;1152.5000000;184410
BANEP;25.12.2020;0;1159.5000000;1177.0000000;1153.5000000;1177.0000000;123323
BANEP;28.12.2020;0;1180.0000000;1185.5000000;1168.5000000;1169.5000000;129715
BANEP;29.12.2020;0;1169.0000000;1175.5000000;1163.0000000;1169.0000000;64742
BANEP;30.12.2020;0;1166.5000000;1177.0000000;1162.0000000;1162.0000000;97513
BANEP;04.01.2021;0;1169.0000000;1193.5000000;1166.0000000;1184.0000000;118723
BANEP;05.01.2021;0;1188.0000000;1205.5000000;1178.5000000;1203.0000000;59714
BANEP;06.01.2021;0;1212.0000000;1229.0000000;1210.0000000;1220.0000000;111240
BANEP;08.01.2021;0;1224.0000000;1248.5000000;1224.0000000;1245.0000000;131197
BANEP;11.01.2021;0;1234.5000000;1248.5000000;1221.5000000;1246.0000000;95675
BANEP;12.01.2021;0;1247.0000000;1264.0000000;1240.0000000;1250.0000000;115538
BANEP;13.01.2021;0;1264.0000000;1266.0000000;1235.0000000;1240.0000000;70501
BANEP;14.01.2021;0;1244.0000000;1260.0000000;1233.5000000;1252.0000000;69227
BANEP;15.01.2021;0;1257.0000000;1264.0000000;1234.0000000;1244.0000000;79627
BANEP;18.01.2021;0;1236.0000000;1244.0000000;1224.0000000;1234.0000000;51315
BANEP;19.01.2021;0;1238.5000000;1246.0000000;1223.0000000;1225.5000000;74871
BANEP;20.01.2021;0;1227.5000000;1240.0000000;1225.0000000;1225.5000000;30427
BANEP;21.01.2021;0;1233.0000000;1235.0000000;1195.0000000;1195.5000000;132888
BANEP;22.01.2021;0;1193.5000000;1196.0000000;1181.5000000;1195.5000000;64560
BANEP;25.01.2021;0;1195.0000000;1208.0000000;1194.0000000;1205.0000000;41371
BANEP;26.01.2021;0;1204.5000000;1209.5000000;1196.5000000;1200.5000000;28446
BANEP;27.01.2021;0;1200.0000000;1209.0000000;1191.0000000;1191.0000000;38063
BANEP;28.01.2021;0;1188.0000000;1195.0000000;1182.0000000;1192.5000000;48383
BANEP;29.01.2021;0;1190.0000000;1198.0000000;1182.5000000;1184.0000000;35849
BANEP;01.02.2021;0;1182.5000000;1192.5000000;1171.0000000;1171.0000000;45924
BANEP;02.02.2021;0;1180.0000000;1188.5000000;1175.0000000;1180.0000000;82328
BANEP;03.02.2021;0;1182.5000000;1187.5000000;1171.0000000;1176.0000000;64778
BANEP;04.02.2021;0;1181.5000000;1207.0000000;1179.0000000;1194.0000000;66497
BANEP;05.02.2021;0;1199.0000000;1205.0000000;1192.5000000;1200.0000000;51579
BANEP;08.02.2021;0;1205.0000000;1215.0000000;1201.5000000;1211.5000000;62535
BANEP;09.02.2021;0;1216.5000000;1219.0000000;1200.0000000;1204.5000000;66714
BANEP;10.02.2021;0;1207.5000000;1212.5000000;1188.5000000;1195.0000000;72379
BANEP;11.02.2021;0;1199.0000000;1210.0000000;1182.0000000;1182.5000000;74226
BANEP;12.02.2021;0;1185.0000000;1186.5000000;1170.5000000;1173.0000000;124435
BANEP;15.02.2021;0;1187.0000000;1190.0000000;1175.0000000;1180.0000000;83662
BANEP;16.02.2021;0;1185.0000000;1188.0000000;1163.5000000;1173.0000000;116548
BANEP;17.02.2021;0;1176.5000000;1182.0000000;1164.0000000;1170.0000000;85600
BANEP;18.02.2021;0;1173.0000000;1176.5000000;1163.0000000;1163.5000000;93730
BANEP;19.02.2021;0;1165.0000000;1166.5000000;1151.5000000;1158.0000000;116641
BANEP;20.02.2021;0;1162.0000000;1176.0000000;1157.0000000;1173.5000000;25150
BANEP;22.02.2021;0;1174.5000000;1180.0000000;1164.5000000;1170.5000000;29876
BANEP;24.02.2021;0;1170.0000000;1176.0000000;1159.0000000;1165.0000000;61064
BANEP;25.02.2021;0;1169.0000000;1174.0000000;1161.0000000;1162.0000000;53099
BANEP;26.02.2021;0;1156.0000000;1160.0000000;1149.5000000;1150.0000000;67603
BANEP;01.03.2021;0;1155.5000000;1163.0000000;1145.0000000;1146.0000000;60358
BANEP;02.03.2021;0;1143.5000000;1157.0000000;1142.5000000;1153.0000000;34907
BANEP;03.03.2021;0;1153.0000000;1172.0000000;1153.0000000;1164.5000000;61594
