<TICKER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CHMF;10.12.2020;0;1172.4000000;1209.0000000;1172.4000000;1204.0000000;1562004
CHMF;11.12.2020;0;1201.6000000;1239.2000000;1200.2000000;1224.6000000;1686990
CHMF;14.12.2020;0;1235.0000000;1294.0000000;1203.4000000;1268.6000000;4105408
CHMF;15.12.2020;0;1271.6000000;1289.6000000;1251.4000000;1267.0000000;1461939
CHMF;16.12.2020;0;1265.0000000;1283.0000000;1244.2000000;1269.0000000;1418415
CHMF;17.12.2020;0;1275.6000000;1279.4000000;1241.8000000;1251.0000000;1566343
CHMF;18.12.2020;0;1244.0000000;1278.4000000;1217.4000000;1263.6000000;1859147
CHMF;21.12.2020;0;1254.0000000;1278.0000000;1218.6000000;1252.0000000;1903975
CHMF;22.12.2020;0;1247.6000000;1295.6000000;1244.0000000;1286.2000000;1299332
CHMF;23.12.2020;0;1292.0000000;1302.4000000;1280.0000000;1298.0000000;856907
CHMF;24.12.2020;0;1296.0000000;1327.4000000;1289.4000000;1321.2000000;891391
CHMF;25.12.2020;0;1326.0000000;1378.6000000;1324.6000000;1363.4000000;1327749
CHMF;28.12.2020;0;1356.4000000;1378.2000000;1345.6000000;1374.4000000;1325103
CHMF;29.12.2020;0;1375.2000000;1392.6000000;1310.2000000;1337.8000000;2332775
CHMF;30.12.2020;0;1335.2000000;1349.4000000;1312.2000000;1323.2000000;1387797
CHMF;04.01.2021;0;1324.0000000;1364.0000000;1324.0000000;1343.2000000;998976
CHMF;05.01.2021;0;1343.0000000;1344.6000000;1298.6000000;1334.2000000;2043498
CHMF;06.01.2021;0;1334.0000000;1340.6000000;1317.8000000;1326.4000000;840253
CHMF;08.01.2021;0;1333.8000000;1384.8000000;1332.8000000;1369.2000000;1689940
CHMF;11.01.2021;0;1372.0000000;1384.6000000;1324.4000000;1351.2000000;1416983
CHMF;12.01.2021;0;1346.0000000;1361.6000000;1318.0000000;1332.8000000;1343201
CHMF;13.01.2021;0;1332.0000000;1343.8000000;1303.0000000;1315.6000000;1473158
CHMF;14.01.2021;0;1306.0000000;1382.8000000;1286.6000000;1367.6000000;2844321
CHMF;15.01.2021;0;1366.0000000;1394.4000000;1340.4000000;1344.8000000;1742218
CHMF;18.01.2021;0;1350.2000000;1361.4000000;1313.0000000;1347.8000000;1698688
CHMF;19.01.2021;0;1358.4000000;1365.2000000;1335.2000000;1340.4000000;998178
CHMF;20.01.2021;0;1342.0000000;1352.6000000;1333.0000000;1340.0000000;1047963
CHMF;21.01.2021;0;1346.0000000;1354.0000000;1323.6000000;1344.4000000;1320830
CHMF;22.01.2021;0;1336.0000000;1341.8000000;1304.0000000;1320.4000000;1545744
CHMF;25.01.2021;0;1328.0000000;1337.0000000;1290.8000000;1313.0000000;1655733
CHMF;26.01.2021;0;1309.0000000;1327.2000000;1295.0000000;1316.2000000;928681
CHMF;27.01.2021;0;1322.0000000;1333.4000000;1273.2000000;1280.6000000;2019199
CHMF;28.01.2021;0;1274.2000000;1288.8000000;1263.2000000;1279.6000000;1423121
CHMF;29.01.2021;0;1274.6000000;1281.8000000;1252.6000000;1262.8000000;1901456
CHMF;01.02.2021;0;1271.0000000;1285.0000000;1263.8000000;1278.4000000;1246941
CHMF;02.02.2021;0;1287.6000000;1299.4000000;1280.2000000;1287.0000000;1069571
CHMF;03.02.2021;0;1292.0000000;1298.6000000;1272.8000000;1284.0000000;822119
CHMF;04.02.2021;0;1287.4000000;1313.0000000;1283.6000000;1299.6000000;1785905
CHMF;05.02.2021;0;1303.2000000;1308.0000000;1277.0000000;1287.0000000;1157717
CHMF;08.02.2021;0;1288.8000000;1306.4000000;1285.0000000;1296.4000000;1296698
CHMF;09.02.2021;0;1301.2000000;1304.0000000;1281.6000000;1287.6000000;785471
CHMF;10.02.2021;0;1288.8000000;1295.6000000;1275.0000000;1283.0000000;823336
CHMF;11.02.2021;0;1280.8000000;1284.8000000;1273.4000000;1277.2000000;527035
CHMF;12.02.2021;0;1279.0000000;1289.8000000;1247.6000000;1287.2000000;982422
CHMF;15.02.2021;0;1289.4000000;1299.2000000;1277.0000000;1287.8000000;873098
CHMF;16.02.2021;0;1290.0000000;1303.0000000;1280.4000000;1301.0000000;940494
CHMF;17.02.2021;0;1301.0000000;1305.0000000;1286.0000000;1293.0000000;945778
CHMF;18.02.2021;0;1291.8000000;1294.6000000;1275.0000000;1280.8000000;961897
CHMF;19.02.2021;0;1280.4000000;1319.4000000;1271.0000000;1308.4000000;984455
CHMF;20.02.2021;0;1311.8000000;1320.0000000;1299.0000000;1311.8000000;234784
CHMF;22.02.2021;0;1315.4000000;1345.6000000;1303.8000000;1334.6000000;1558182
CHMF;24.02.2021;0;1324.4000000;1330.0000000;1292.4000000;1304.4000000;1286159
CHMF;25.02.2021;0;1306.6000000;1363.4000000;1305.8000000;1341.0000000;2354570
CHMF;26.02.2021;0;1332.0000000;1368.2000000;1325.8000000;1343.6000000;2503752
CHMF;01.03.2021;0;1350.2000000;1374.4000000;1328.6000000;1366.8000000;1241197
CHMF;02.03.2021;0;1364.6000000;1380.0000000;1351.2000000;1360.0000000;1110476
CHMF;03.03.2021;0;1360.0000000;1381.0000000;1360.0000000;1375.4000000;1508581
CHMF;04.03.2021;0;1377.4000000;1380.2000000;1327.2000000;1333.0000000;1373913
CHMF;05.03.2021;0;1340.2000000;1341.2000000;1321.6000000;1339.0000000;1103678
CHMF;09.03.2021;0;1345.0000000;1350.6000000;1286.6000000;1315.6000000;2106091
CHMF;10.03.2021;0;1310.0000000;1340.0000000;1301.4000000;1334.4000000;1422936
CHMF;11.03.2021;0;1344.6000000;1366.8000000;1339.8000000;1361.0000000;1271887
CHMF;12.03.2021;0;1368.8000000;1414.4000000;1350.0000000;1408.0000000;1892421
CHMF;15.03.2021;0;1400.0000000;1450.8000000;1398.0000000;1436.2000000;1684398
CHMF;16.03.2021;0;1442.2000000;1445.6000000;1410.0000000;1435.2000000;1275397
CHMF;17.03.2021;0;1435.0000000;1440.6000000;1414.4000000;1417.0000000;1061568
CHMF;18.03.2021;0;1420.6000000;1440.6000000;1406.2000000;1411.4000000;999551
CHMF;19.03.2021;0;1417.2000000;1441.8000000;1407.2000000;1422.6000000;1889955
CHMF;22.03.2021;0;1422.8000000;1423.8000000;1403.6000000;1411.8000000;743065
CHMF;23.03.2021;0;1411.8000000;1415.0000000;1371.6000000;1378.6000000;1320647
CHMF;24.03.2021;0;1385.0000000;1413.6000000;1362.4000000;1397.6000000;1128098
CHMF;25.03.2021;0;1403.2000000;1420.6000000;1375.0000000;1396.6000000;1882845
CHMF;26.03.2021;0;1399.4000000;1429.0000000;1398.2000000;1426.2000000;1754671
CHMF;29.03.2021;0;1422.4000000;1451.8000000;1413.2000000;1441.2000000;2359038
CHMF;30.03.2021;0;1452.4000000;1486.2000000;1450.0000000;1480.6000000;1564842
CHMF;31.03.2021;0;1481.4000000;1553.2000000;1477.2000000;1534.6000000;2298129
CHMF;01.04.2021;0;1541.0000000;1560.0000000;1492.4000000;1509.2000000;2177797
CHMF;02.04.2021;0;1509.2000000;1531.4000000;1503.0000000;1528.2000000;537746
CHMF;05.04.2021;0;1529.0000000;1529.8000000;1497.2000000;1507.8000000;767701
CHMF;06.04.2021;0;1511.2000000;1527.8000000;1493.0000000;1503.0000000;1478043
CHMF;07.04.2021;0;1489.8000000;1533.0000000;1467.2000000;1521.8000000;2234334
CHMF;08.04.2021;0;1535.0000000;1556.2000000;1521.2000000;1553.0000000;1260200
CHMF;09.04.2021;0;1555.0000000;1558.0000000;1525.2000000;1537.8000000;830945
CHMF;12.04.2021;0;1536.8000000;1610.0000000;1530.8000000;1607.8000000;1593672
CHMF;13.04.2021;0;1609.0000000;1650.0000000;1605.0000000;1632.2000000;2216428
CHMF;14.04.2021;0;1642.0000000;1647.6000000;1596.8000000;1611.8000000;1327801
CHMF;15.04.2021;0;1600.0000000;1671.0000000;1592.6000000;1668.6000000;1404608
CHMF;16.04.2021;0;1677.8000000;1769.4000000;1671.2000000;1768.8000000;2482071
CHMF;19.04.2021;0;1774.8000000;1819.0000000;1722.0000000;1735.6000000;3575939
CHMF;20.04.2021;0;1745.0000000;1776.0000000;1731.4000000;1749.0000000;1773488
CHMF;21.04.2021;0;1758.4000000;1828.6000000;1752.2000000;1827.8000000;2570304
CHMF;22.04.2021;0;1830.2000000;1911.2000000;1802.4000000;1874.8000000;3602442
CHMF;23.04.2021;0;1871.6000000;1889.6000000;1852.8000000;1881.2000000;1632724
CHMF;26.04.2021;0;1877.6000000;1905.0000000;1855.0000000;1876.0000000;2059369
CHMF;27.04.2021;0;1875.0000000;1877.6000000;1779.6000000;1811.8000000;3731529
CHMF;28.04.2021;0;1805.4000000;1836.8000000;1769.0000000;1795.2000000;2220670
CHMF;29.04.2021;0;1803.2000000;1817.2000000;1787.4000000;1811.6000000;801571
CHMF;30.04.2021;0;1807.6000000;1809.8000000;1757.6000000;1774.0000000;1458512
CHMF;04.05.2021;0;1777.4000000;1792.4000000;1730.2000000;1757.8000000;1663216
CHMF;05.05.2021;0;1757.8000000;1760.0000000;1700.4000000;1752.2000000;1967127
CHMF;06.05.2021;0;1757.4000000;1769.4000000;1722.6000000;1760.0000000;1768284
CHMF;07.05.2021;0;1760.0000000;1837.0000000;1759.4000000;1835.6000000;2387306
CHMF;10.05.2021;0;1836.6000000;1864.0000000;1822.0000000;1831.2000000;1299880
CHMF;11.05.2021;0;1826.2000000;1845.6000000;1803.6000000;1827.8000000;1163650
CHMF;12.05.2021;0;1826.0000000;1847.0000000;1813.8000000;1819.2000000;856937
CHMF;13.05.2021;0;1827.0000000;1827.2000000;1764.2000000;1789.0000000;1774338
CHMF;14.05.2021;0;1780.0000000;1789.8000000;1751.2000000;1780.0000000;1156133
CHMF;17.05.2021;0;1779.8000000;1791.8000000;1753.0000000;1772.8000000;754459
CHMF;18.05.2021;0;1780.6000000;1815.8000000;1762.2000000;1783.8000000;1719032
CHMF;19.05.2021;0;1783.8000000;1787.8000000;1752.8000000;1767.8000000;1471181
CHMF;20.05.2021;0;1766.4000000;1824.6000000;1762.0000000;1813.0000000;1944737
CHMF;21.05.2021;0;1822.0000000;1822.0000000;1770.2000000;1783.4000000;1342248
CHMF;24.05.2021;0;1779.2000000;1787.2000000;1765.6000000;1784.0000000;664931
CHMF;25.05.2021;0;1780.2000000;1800.0000000;1768.6000000;1789.0000000;876530
CHMF;26.05.2021;0;1786.0000000;1796.0000000;1731.4000000;1754.4000000;2055755
CHMF;27.05.2021;0;1755.2000000;1778.6000000;1734.4000000;1756.2000000;2544566
CHMF;28.05.2021;0;1751.6000000;1775.0000000;1739.0000000;1758.2000000;2276903
CHMF;31.05.2021;0;1680.0000000;1696.8000000;1652.0000000;1686.0000000;2214874
CHMF;01.06.2021;0;1686.0000000;1697.6000000;1675.8000000;1695.2000000;1344898
