<TICKER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;10.12.2020;0;5006.5000000;5338.0000000;5005.5000000;5287.0000000;2581306
LKOH;11.12.2020;0;5298.5000000;5420.0000000;5275.0000000;5380.0000000;2277373
LKOH;14.12.2020;0;5416.0000000;5494.0000000;5262.0000000;5325.0000000;2108840
LKOH;15.12.2020;0;5306.5000000;5399.5000000;5220.0000000;5297.5000000;1486533
LKOH;16.12.2020;0;5297.5000000;5307.0000000;5105.0000000;5174.0000000;2284255
LKOH;17.12.2020;0;5179.5000000;5244.5000000;5104.0000000;5188.0000000;2013453
LKOH;18.12.2020;0;5173.0000000;5176.5000000;5075.0000000;5140.0000000;2724592
LKOH;21.12.2020;0;5069.5000000;5115.0000000;4938.5000000;5095.5000000;2452216
LKOH;22.12.2020;0;5040.5000000;5138.0000000;5040.5000000;5073.0000000;1157972
LKOH;23.12.2020;0;5067.0000000;5130.0000000;5047.5000000;5107.0000000;658533
LKOH;24.12.2020;0;5121.0000000;5148.0000000;5082.5000000;5105.5000000;433719
LKOH;25.12.2020;0;5110.0000000;5113.0000000;5087.5000000;5106.0000000;134682
LKOH;28.12.2020;0;5114.0000000;5175.5000000;5101.0000000;5101.5000000;688066
LKOH;29.12.2020;0;5115.0000000;5170.0000000;5114.0000000;5143.0000000;661110
LKOH;30.12.2020;0;5153.5000000;5204.0000000;5146.0000000;5169.5000000;789928
LKOH;04.01.2021;0;5232.0000000;5274.5000000;5186.5000000;5212.5000000;773026
LKOH;05.01.2021;0;5210.0000000;5359.0000000;5180.0000000;5358.5000000;1178125
LKOH;06.01.2021;0;5375.0000000;5401.0000000;5304.0000000;5376.5000000;1393471
LKOH;08.01.2021;0;5439.5000000;5557.5000000;5425.0000000;5556.5000000;2062517
LKOH;11.01.2021;0;5510.5000000;5639.0000000;5451.0000000;5599.0000000;2045942
LKOH;12.01.2021;0;5618.0000000;5724.5000000;5615.0000000;5721.0000000;1746424
LKOH;13.01.2021;0;5754.0000000;5827.0000000;5706.0000000;5755.0000000;2041824
LKOH;14.01.2021;0;5752.0000000;5957.5000000;5715.0000000;5937.0000000;2105732
LKOH;15.01.2021;0;5889.5000000;5995.0000000;5852.0000000;5888.5000000;1914626
LKOH;18.01.2021;0;5863.5000000;5902.0000000;5802.5000000;5873.0000000;1306744
LKOH;19.01.2021;0;5912.0000000;5968.0000000;5854.0000000;5892.0000000;1242959
LKOH;20.01.2021;0;5907.0000000;5962.0000000;5843.0000000;5864.0000000;965966
LKOH;21.01.2021;0;5884.0000000;5921.5000000;5710.0000000;5771.0000000;1831900
LKOH;22.01.2021;0;5705.0000000;5787.0000000;5626.0000000;5740.5000000;1632508
LKOH;25.01.2021;0;5752.5000000;5797.5000000;5675.0000000;5722.0000000;1320058
LKOH;26.01.2021;0;5681.0000000;5703.5000000;5553.0000000;5595.5000000;1621675
LKOH;27.01.2021;0;5610.5000000;5631.0000000;5484.0000000;5499.5000000;1731861
LKOH;28.01.2021;0;5467.0000000;5617.0000000;5442.5000000;5575.0000000;1683337
LKOH;29.01.2021;0;5555.0000000;5561.5000000;5365.5000000;5377.0000000;2020670
LKOH;01.02.2021;0;5417.5000000;5426.0000000;5296.5000000;5406.0000000;2110804
LKOH;02.02.2021;0;5426.0000000;5577.0000000;5407.5000000;5516.0000000;2448824
LKOH;03.02.2021;0;5554.0000000;5642.0000000;5491.5000000;5555.0000000;1796746
LKOH;04.02.2021;0;5565.5000000;5728.5000000;5529.0000000;5699.5000000;2269932
LKOH;05.02.2021;0;5740.5000000;5770.5000000;5644.0000000;5715.0000000;1125316
LKOH;08.02.2021;0;5750.0000000;5797.5000000;5698.0000000;5758.0000000;963438
LKOH;09.02.2021;0;5780.5000000;5796.0000000;5654.0000000;5695.0000000;1049377
LKOH;10.02.2021;0;5700.0000000;5712.5000000;5560.0000000;5594.5000000;1340726
LKOH;11.02.2021;0;5581.0000000;5690.0000000;5546.0000000;5641.5000000;705902
LKOH;12.02.2021;0;5624.5000000;5756.5000000;5501.0000000;5756.0000000;1264596
LKOH;15.02.2021;0;5820.0000000;5910.0000000;5772.0000000;5909.5000000;1137579
LKOH;16.02.2021;0;5918.0000000;5930.0000000;5805.5000000;5868.5000000;931974
LKOH;17.02.2021;0;5860.5000000;5876.5000000;5682.0000000;5768.5000000;1282901
LKOH;18.02.2021;0;5761.5000000;5784.0000000;5588.5000000;5615.0000000;1261967
LKOH;19.02.2021;0;5580.0000000;5697.0000000;5561.0000000;5656.0000000;1241815
LKOH;20.02.2021;0;5657.0000000;5659.0000000;5602.5000000;5633.0000000;122313
LKOH;22.02.2021;0;5651.0000000;5797.0000000;5592.0000000;5786.0000000;1191686
LKOH;24.02.2021;0;5751.0000000;5791.0000000;5676.5000000;5788.5000000;1136455
LKOH;25.02.2021;0;5804.5000000;5888.0000000;5731.0000000;5740.5000000;1649316
LKOH;26.02.2021;0;5707.0000000;5794.5000000;5545.0000000;5575.5000000;2505092
LKOH;01.03.2021;0;5623.0000000;5660.0000000;5590.5000000;5634.0000000;1039122
LKOH;02.03.2021;0;5609.5000000;5676.0000000;5592.0000000;5648.5000000;769865
LKOH;03.03.2021;0;5684.0000000;5747.5000000;5631.5000000;5701.0000000;887997
LKOH;04.03.2021;0;5715.0000000;5955.0000000;5690.0000000;5806.0000000;1943650
LKOH;05.03.2021;0;5856.0000000;6245.0000000;5852.0000000;6236.0000000;3837382
