<TICKER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;10.12.2020;0;434.7000000;452.1500000;434.5000000;450.9000000;8114000
ROSN;11.12.2020;0;452.0000000;454.0000000;445.0000000;447.2500000;6776360
ROSN;14.12.2020;0;449.0000000;459.4000000;438.6000000;441.8000000;10343570
ROSN;15.12.2020;0;438.9500000;451.5000000;435.8500000;451.5000000;8229620
ROSN;16.12.2020;0;451.5000000;456.4000000;437.5000000;444.4000000;9847650
ROSN;17.12.2020;0;445.5000000;447.9500000;438.8000000;442.6500000;9207790
ROSN;18.12.2020;0;441.8500000;443.9500000;438.9000000;440.6500000;8758360
ROSN;21.12.2020;0;435.1000000;437.4000000;417.4500000;423.9500000;13025190
ROSN;22.12.2020;0;419.0500000;435.4500000;417.7500000;430.7000000;7578620
ROSN;23.12.2020;0;429.9500000;434.5000000;427.0000000;430.1500000;5233820
ROSN;24.12.2020;0;431.3500000;438.0000000;429.2000000;436.3500000;3406800
ROSN;25.12.2020;0;437.9500000;437.9500000;433.0000000;436.2500000;1038930
ROSN;28.12.2020;0;436.5000000;439.9500000;434.3500000;435.6500000;2020410
ROSN;29.12.2020;0;437.4500000;438.8500000;430.1500000;434.6000000;3298800
ROSN;30.12.2020;0;435.6500000;438.4500000;433.4000000;435.1000000;5079040
ROSN;04.01.2021;0;435.8500000;442.6000000;433.0000000;436.0000000;6387860
ROSN;05.01.2021;0;436.0500000;450.7000000;433.3000000;449.3500000;6724540
ROSN;06.01.2021;0;449.4500000;454.6500000;443.7000000;453.7000000;8220600
ROSN;08.01.2021;0;465.2000000;481.0000000;463.8000000;478.2000000;12695070
ROSN;11.01.2021;0;474.5500000;480.1000000;464.0000000;473.2500000;8789190
ROSN;12.01.2021;0;475.0000000;479.2000000;466.2500000;474.4000000;7081940
ROSN;13.01.2021;0;477.0000000;493.9500000;476.2500000;485.9500000;15288640
ROSN;14.01.2021;0;485.7500000;505.6500000;484.0500000;505.0000000;15394440
ROSN;15.01.2021;0;502.9000000;519.6500000;498.2000000;512.2000000;17888660
ROSN;18.01.2021;0;509.8000000;519.0000000;505.2500000;516.5000000;10712490
ROSN;19.01.2021;0;518.8000000;524.8000000;506.6500000;510.7000000;12517910
ROSN;20.01.2021;0;510.9000000;514.7000000;507.5500000;510.6500000;4873080
