<TICKER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SIBN;10.12.2020;0;323.0000000;326.9500000;320.6500000;324.5500000;1316930
SIBN;11.12.2020;0;325.9000000;328.0000000;324.5500000;328.0000000;1524220
SIBN;14.12.2020;0;329.7000000;331.7000000;323.6500000;325.5000000;2240840
SIBN;15.12.2020;0;324.1000000;329.6000000;323.0500000;326.4500000;1084760
SIBN;16.12.2020;0;327.1000000;328.5000000;323.6000000;327.8000000;873700
SIBN;17.12.2020;0;329.1500000;332.3000000;326.5000000;328.0000000;2111640
SIBN;18.12.2020;0;328.1500000;328.3000000;322.0500000;324.4000000;1256040
SIBN;21.12.2020;0;322.2000000;322.4500000;312.3500000;312.8000000;2327780
SIBN;22.12.2020;0;312.5000000;319.3000000;310.0500000;315.7500000;1542300
SIBN;23.12.2020;0;316.5000000;320.5000000;315.7500000;318.0500000;802350
SIBN;24.12.2020;0;320.0500000;321.0500000;317.6500000;319.1000000;642550
SIBN;25.12.2020;0;320.6000000;320.9500000;318.9000000;319.0000000;782280
SIBN;28.12.2020;0;317.1000000;317.4500000;315.0000000;316.9000000;1775010
SIBN;29.12.2020;0;316.7500000;318.5000000;316.1000000;317.1500000;639020
SIBN;30.12.2020;0;316.9500000;319.2000000;316.2500000;316.9500000;1157270
SIBN;04.01.2021;0;319.0500000;324.2000000;318.3500000;322.7500000;1336920
SIBN;05.01.2021;0;322.0000000;324.3000000;319.5000000;323.9000000;871870
SIBN;06.01.2021;0;326.0500000;329.6000000;324.5000000;326.7000000;2252750
SIBN;08.01.2021;0;329.2500000;337.0000000;328.1500000;337.0000000;3120920
SIBN;11.01.2021;0;335.0500000;339.1500000;330.8500000;334.3000000;2440180
SIBN;12.01.2021;0;337.0000000;338.5000000;332.5000000;334.3000000;1661440
SIBN;13.01.2021;0;336.1000000;338.5000000;332.7000000;333.7500000;1540860
SIBN;14.01.2021;0;333.8000000;345.5500000;331.7000000;342.1000000;3478220
SIBN;15.01.2021;0;342.5000000;349.9000000;339.7000000;341.3500000;3069390
SIBN;18.01.2021;0;339.5000000;341.8500000;334.3000000;339.8000000;1264970
SIBN;19.01.2021;0;341.9500000;343.7500000;336.7500000;337.3000000;1103400
SIBN;20.01.2021;0;338.3000000;340.9000000;337.2000000;338.7000000;852270
SIBN;21.01.2021;0;339.2000000;339.8000000;329.2000000;332.3000000;1998540
SIBN;22.01.2021;0;332.2000000;332.2000000;321.8500000;323.5000000;2152070
SIBN;25.01.2021;0;324.5000000;327.4500000;322.2000000;325.2000000;1087440
SIBN;26.01.2021;0;323.7500000;327.0500000;321.5000000;325.8500000;894580
SIBN;27.01.2021;0;326.2000000;327.7000000;321.0000000;322.0000000;975040
SIBN;28.01.2021;0;321.0000000;324.1000000;317.1000000;322.2000000;1067540
SIBN;29.01.2021;0;321.0000000;321.6000000;314.7000000;315.7000000;1789280
SIBN;01.02.2021;0;316.6500000;316.9500000;313.1500000;315.0000000;1027440
SIBN;02.02.2021;0;318.1000000;322.2000000;316.7500000;320.7500000;1817210
SIBN;03.02.2021;0;320.1000000;323.9000000;318.0000000;318.5000000;1263690
SIBN;04.02.2021;0;320.6000000;326.9500000;318.6000000;325.8500000;1933860
SIBN;05.02.2021;0;328.2000000;335.0500000;327.5500000;334.9500000;2992930
SIBN;08.02.2021;0;337.4500000;343.1000000;336.2000000;343.1000000;2112590
SIBN;09.02.2021;0;345.1000000;347.9000000;337.2500000;339.5000000;2369910
SIBN;10.02.2021;0;339.9500000;342.3500000;332.9500000;333.0000000;1444740
SIBN;11.02.2021;0;333.9500000;336.7000000;327.3000000;331.3000000;2022810
SIBN;12.02.2021;0;330.8500000;339.0000000;326.3500000;339.0000000;2054400
SIBN;15.02.2021;0;345.2000000;345.5000000;339.1000000;344.2000000;2296930
SIBN;16.02.2021;0;344.8000000;347.7000000;341.6000000;346.6000000;2503550
SIBN;17.02.2021;0;346.7000000;353.0000000;343.5000000;347.6500000;3309880
SIBN;18.02.2021;0;350.1500000;351.9500000;338.1000000;338.1000000;2200780
SIBN;19.02.2021;0;338.0000000;342.4000000;333.1000000;338.2000000;1561100
SIBN;20.02.2021;0;339.3500000;342.2000000;335.9000000;340.0000000;397650
SIBN;22.02.2021;0;340.7000000;343.5000000;336.4000000;340.3500000;953250
SIBN;24.02.2021;0;338.9000000;346.0500000;338.6500000;344.0000000;1481790
SIBN;25.02.2021;0;345.9500000;349.3500000;345.8500000;348.9500000;2152580
SIBN;26.02.2021;0;343.5500000;345.1000000;338.5000000;339.0000000;1520490
SIBN;01.03.2021;0;341.9500000;345.8000000;340.1500000;343.8000000;873930
SIBN;02.03.2021;0;341.2000000;346.7000000;337.7000000;346.7000000;1759040
SIBN;03.03.2021;0;348.4000000;349.6000000;341.2500000;343.9500000;1362870
SIBN;04.03.2021;0;343.1500000;347.4000000;342.0500000;346.9000000;1114220
SIBN;05.03.2021;0;346.8500000;362.0000000;346.5000000;359.3000000;4840160
SIBN;09.03.2021;0;359.2000000;379.7000000;356.2000000;377.0000000;5064110
SIBN;10.03.2021;0;374.8500000;381.4500000;366.1000000;372.4000000;2741690
SIBN;11.03.2021;0;373.2000000;382.0000000;373.2000000;378.3500000;2325130
SIBN;12.03.2021;0;378.9500000;386.9500000;374.5500000;381.5000000;2647190
SIBN;15.03.2021;0;384.9000000;388.0000000;377.0500000;384.5000000;2558880
SIBN;16.03.2021;0;381.9500000;383.7000000;378.0000000;382.8000000;1432300
SIBN;17.03.2021;0;383.7500000;383.7500000;372.0500000;373.5000000;1651970
SIBN;18.03.2021;0;374.2000000;378.3500000;366.5000000;369.3000000;2466950
SIBN;19.03.2021;0;364.7000000;373.4500000;361.0000000;369.1500000;2008470
SIBN;22.03.2021;0;370.3500000;374.9500000;368.4000000;372.2500000;1022600
SIBN;23.03.2021;0;370.7000000;372.3500000;364.5500000;367.5000000;1511500
SIBN;24.03.2021;0;366.5500000;370.7000000;364.2000000;370.4500000;1549000
SIBN;25.03.2021;0;370.3500000;370.9000000;365.1500000;365.2000000;688560
SIBN;26.03.2021;0;368.8500000;375.4500000;368.8500000;371.0000000;856370
SIBN;29.03.2021;0;370.3000000;376.7000000;369.1000000;372.1500000;1109850
SIBN;30.03.2021;0;373.5500000;377.5500000;371.6000000;377.2000000;1260400
SIBN;31.03.2021;0;377.8500000;378.9000000;369.2500000;370.0000000;1986840
SIBN;01.04.2021;0;372.0000000;374.8000000;368.1500000;368.1500000;1624290
SIBN;02.04.2021;0;371.4500000;375.0500000;371.4000000;371.6500000;560830
SIBN;05.04.2021;0;373.2000000;373.9500000;370.8500000;371.8500000;428130
SIBN;06.04.2021;0;371.7500000;371.8500000;364.6000000;365.5500000;1642140
SIBN;07.04.2021;0;362.2000000;367.3500000;358.5000000;362.5000000;2168660
SIBN;08.04.2021;0;362.9500000;365.0000000;361.1500000;364.0000000;840960
SIBN;09.04.2021;0;363.3000000;363.9500000;353.2000000;355.2000000;1847010
