<TICKER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TATNP;10.12.2020;0;466.3000000;478.5000000;464.2000000;475.4000000;1200803
TATNP;11.12.2020;0;474.7000000;482.7000000;474.3000000;479.0000000;1283752
TATNP;14.12.2020;0;483.0000000;489.8000000;480.5000000;483.9000000;1745324
TATNP;15.12.2020;0;483.3000000;486.9000000;478.0000000;485.5000000;671960
TATNP;16.12.2020;0;483.8000000;486.1000000;472.1000000;478.0000000;760190
TATNP;17.12.2020;0;479.9000000;484.5000000;478.1000000;479.4000000;772651
TATNP;18.12.2020;0;478.9000000;479.2000000;472.3000000;473.4000000;488871
TATNP;21.12.2020;0;469.5000000;469.7000000;451.9000000;464.1000000;1612878
TATNP;22.12.2020;0;460.0000000;469.1000000;458.4000000;464.6000000;695259
TATNP;23.12.2020;0;462.9000000;470.6000000;462.3000000;468.2000000;455877
TATNP;24.12.2020;0;467.8000000;470.8000000;467.0000000;468.0000000;369013
TATNP;25.12.2020;0;468.4000000;469.5000000;466.6000000;468.5000000;243279
TATNP;28.12.2020;0;469.5000000;471.0000000;467.0000000;468.5000000;786557
TATNP;29.12.2020;0;468.1000000;472.8000000;468.1000000;470.5000000;503211
TATNP;30.12.2020;0;472.4000000;478.3000000;470.5000000;475.7000000;729104
TATNP;04.01.2021;0;480.1000000;484.0000000;472.3000000;476.5000000;987418
TATNP;05.01.2021;0;477.2000000;485.6000000;474.1000000;485.6000000;737525
TATNP;06.01.2021;0;486.1000000;489.0000000;478.9000000;482.5000000;1297235
TATNP;08.01.2021;0;485.9000000;492.4000000;485.7000000;491.3000000;2668490
TATNP;11.01.2021;0;487.9000000;496.3000000;483.5000000;489.0000000;2017918
TATNP;12.01.2021;0;489.7000000;496.9000000;489.1000000;494.7000000;1194427
TATNP;13.01.2021;0;498.7000000;508.6000000;497.7000000;503.5000000;2046743
TATNP;14.01.2021;0;504.9000000;513.4000000;500.0000000;513.4000000;1189215
TATNP;15.01.2021;0;511.0000000;514.6000000;497.8000000;500.3000000;1897566
